time,BLUE,RED
1,0.0427583800976786,0.0138835764079068
2,0.0467804106022206,0.0151601473461379
3,0.0511802853785205,0.016554041244583
4,0.055993405075136,0.0180760299612345
5,0.0612584682801314,0.0197378723042283
6,0.0670177750589739,0.0215524040640907
7,0.0733175576997122,0.0235336361829239
8,0.0802083409592163,0.0256968617812642
9,0.0877453342683498,0.0280587728243362
10,0.0959888585235874,0.0306375872750233
11,0.105004810266408,0.0334531876513006
12,0.114865166228016,0.036527271981355
13,0.125648531393177,0.0398835182303447
14,0.137440733910154,0.0435477633588841
15,0.150335470340032,0.0475481982650136
16,0.164435004893225,0.051915579958668
17,0.179850926437647,0.0566834624204993
18,0.196704967174413,0.0618884477052043
19,0.215129886953944,0.0675704589630349
20,0.235270427236858,0.0737730371715139
21,0.257284338676745,0.080543663491972
22,0.281343486199806,0.0879341092915209
23,0.307635035260333,0.0960008159993609
24,0.336362722638519,0.104805307095424
25,0.367748214691524,0.114414634657352
26,0.40203255533895,0.124901863016282
27,0.439477705223727,0.136346592189836
28,0.480368172397095,0.148835523868222
29,0.525012733484112,0.162463072821937
30,0.573746242539524,0.177332026671319
31,0.626931522641943,0.193554257002406
32,0.68496133262911,0.21125148482173
33,0.748260398174184,0.230556103304946
34,0.817287492562121,0.251612060698495
35,0.89253754796129,0.274575806065947
36,0.974543772611114,0.299617300314401
37,1.06387974307463,0.326921094572076
38,1.16116143345363,0.35668747749324
39,1.26704913516226,0.389133692414752
40,1.38224921145106,0.424495224449599
41,1.50751562034424,0.463027156542612
42,1.6436511280186,0.505005592193297
43,1.79150812199147,0.550729140926878
44,1.951988919952,0.600520460619293
45,2.12604545592255,0.654727848402411
46,2.31467821105444,0.713726869035549
47,2.51893424227986,0.777922006269119
48,2.73990414897304,0.847748318784427
49,2.97871780664112,0.923673077709704
50,3.23653868861861,1.0061973574289
51,3.51455659317205,1.09585754536671
52,3.81397859596438,1.19322672961357
53,4.13601805832998,1.29891591563023
54,4.48188154227961,1.41357501485382
55,4.85275351566947,1.53789353886495
56,5.24977877754093,1.67260092296905
57,5.67404259601951,1.81846639276158
