time,REST,REG1
1935,0.064561436831695,0.0852751809759964
1936,0.0636477199017658,0.0735379534851326
1937,0.0640354209148762,0.0752885069066079
1938,0.0608265833188217,0.0748080432350238
1939,0.0602574372088647,0.0767130579013445
1940,0.0611203910355823,0.0746533266291446
1941,0.0659302023252973,0.0695235971305861
1942,0.0642704057262035,0.0789486430322425
1943,0.0679911290380655,0.078312690935433
1944,0.0670797520420725,0.0774189981336439
1945,0.0666674823809324,0.0797242045692545
1946,0.0673589684611647,0.0803482800663924
1947,0.0668513503994098,0.0881848106163501
1948,0.0666093244704723,0.074533758017197
1949,0.065730130673005,0.0857441560525097
1950,0.0668395170544286,0.0908863776054059
1951,0.0767778749362943,0.101516997383021
1952,0.0841041093844609,0.11662037429108
1953,0.0849788335903967,0.110627967663251
1954,0.0855076604838267,0.117846054614133
1955,0.0874009253104783,0.114304998082224
1956,0.0911063116785779,0.130247940821598
1957,0.0923601257711104,0.122233010962884
1958,0.089814993860056,0.125084284157066
1959,0.0902220575271338,0.123123415799692
1960,0.0937128602143593,0.125127606985939
1961,0.109569979591884,0.152887429978798
1962,0.114749444565941,0.161619802546995
1963,0.11588228100467,0.171943912102378
1964,0.121308569598328,0.17285854915086
1965,0.122384983809386,0.175629942672029
1966,0.13352281118329,0.18044987199382
1967,0.143763967802071,0.205012945156693
1968,0.149154394708649,0.206376371036011
1969,0.151532623687216,0.213798777519087
1970,0.15755162896785,0.22240381218643
1971,0.183114147533648,0.237296256337488
1972,0.193882090356764,0.265483448358292
